# Program:featureCounts v2.0.6; Command:"featureCounts" "-s" "1" "-M" "-Q" "20" "-T" "5" "-t" "gene" "-g" "gene_id" "-a" "../ref/true_genes_only.gtf" "-o" "../data08/feature/A02-bowtie1.txt" "../data08/bowtie/A02-bowtie1.txt" 
Geneid	Chr	Start	End	Strand	Length	../data08/bowtie/A02-bowtie1.txt
BW25113_RS00700	NZ_CP009273.1	151948	152688	-	741	0
BW25113_RS00705	NZ_CP009273.1	152786	153370	-	585	9
BW25113_RS00710	NZ_CP009273.1	153740	154219	-	480	26
BW25113_RS00715	NZ_CP009273.1	154216	155613	-	1398	212
BW25113_RS00720	NZ_CP009273.1	155673	156569	-	897	21
BW25113_RS00725	NZ_CP009273.1	156636	157091	-	456	4867
BW25113_RS00730	NZ_CP009273.1	157269	157973	-	705	96
BW25113_RS00735	NZ_CP009273.1	157988	158518	-	531	25
BW25113_RS00740	NZ_CP009273.1	158592	161021	+	2430	59
BW25113_RS00750	NZ_CP009273.1	161217	163751	+	2535	175
BW25113_RS00755	NZ_CP009273.1	163971	166214	+	2244	1900
BW25113_RS00760	NZ_CP009273.1	166265	167062	+	798	133
BW25113_RS00765	NZ_CP009273.1	167062	167952	+	891	70
BW25113_RS00770	NZ_CP009273.1	167949	169931	+	1983	74
BW25113_RS00775	NZ_CP009273.1	170089	171369	-	1281	1209
BW25113_RS26045	NZ_CP009273.1	171535	171582	+	48	8
BW25113_RS00780	NZ_CP009273.1	171594	173015	+	1422	88
BW25113_RS25410	NZ_CP009273.1	173039	173104	+	66	6
BW25113_RS00785	NZ_CP009273.1	173097	173441	+	345	545
BW25113_RS00790	NZ_CP009273.1	173488	174111	-	624	17
BW25113_RS00795	NZ_CP009273.1	174149	174949	-	801	10
BW25113_RS00800	NZ_CP009273.1	174942	175640	-	699	1007
BW25113_RS00805	NZ_CP009273.1	175724	177241	+	1518	147
BW25113_RS00810	NZ_CP009273.1	177371	178795	+	1425	2685
BW25113_RS00815	NZ_CP009273.1	178950	180107	+	1158	73
BW25113_RS00820	NZ_CP009273.1	180196	180582	-	387	866
BW25113_RS00825	NZ_CP009273.1	180744	181556	-	813	6
BW25113_RS00830	NZ_CP009273.1	181610	182434	-	825	6208
BW25113_RS00835	NZ_CP009273.1	182465	185137	-	2673	146
BW25113_RS00840	NZ_CP009273.1	185199	185993	-	795	1324
BW25113_RS00845	NZ_CP009273.1	186361	187086	+	726	6644
BW25113_RS00850	NZ_CP009273.1	187344	188195	+	852	10359
BW25113_RS00855	NZ_CP009273.1	188342	189067	+	726	464
BW25113_RS00860	NZ_CP009273.1	189359	189916	+	558	2437
BW25113_RS00865	NZ_CP009273.1	190008	191204	+	1197	92
BW25113_RS00870	NZ_CP009273.1	191393	192151	+	759	123
BW25113_RS00875	NZ_CP009273.1	192164	193021	+	858	104
BW25113_RS00880	NZ_CP009273.1	193033	194385	+	1353	107
BW25113_RS00885	NZ_CP009273.1	194415	196847	+	2433	2494
BW25113_RS00890	NZ_CP009273.1	196969	197454	+	486	4187
BW25113_RS00895	NZ_CP009273.1	197458	198483	+	1026	675
BW25113_RS00900	NZ_CP009273.1	198588	199043	+	456	1284
BW25113_RS00905	NZ_CP009273.1	199047	199835	+	789	528
BW25113_RS00910	NZ_CP009273.1	199835	200983	+	1149	95
BW25113_RS00915	NZ_CP009273.1	200980	201576	+	597	47
BW25113_RS00920	NZ_CP009273.1	201613	205095	+	3483	142
BW25113_RS00925	NZ_CP009273.1	205108	206067	+	960	1574
BW25113_RS00930	NZ_CP009273.1	206166	208307	+	2142	91
BW25113_RS00935	NZ_CP009273.1	208364	208753	+	390	103
BW25113_RS00940	NZ_CP009273.1	208818	210116	+	1299	94
BW25113_RS00945	NZ_CP009273.1	210165	210425	-	261	310
BW25113_RS00950	NZ_CP009273.1	210412	210612	-	201	232
BW25113_RS00955	NZ_CP009273.1	210778	211323	+	546	115
BW25113_RS00960	NZ_CP009273.1	211320	211742	+	423	22
BW25113_RS00965	NZ_CP009273.1	211756	212466	+	711	174
BW25113_RS00970	NZ_CP009273.1	212666	213490	-	825	3
BW25113_RS00975	NZ_CP009273.1	213544	215262	-	1719	1542
BW25113_RS00980	NZ_CP009273.1	215374	216081	-	708	53
BW25113_RS00985	NZ_CP009273.1	216078	216482	-	405	262
BW25113_RS00990	NZ_CP009273.1	216600	217415	-	816	588
BW25113_RS00995	NZ_CP009273.1	217455	218108	-	654	20
BW25113_RS01000	NZ_CP009273.1	218101	219132	-	1032	71
BW25113_RS01005	NZ_CP009273.1	219320	219895	+	576	309
BW25113_RS01040	NZ_CP009273.1	225654	226457	+	804	136
BW25113_RS01045	NZ_CP009273.1	226454	227368	-	915	175
BW25113_RS01050	NZ_CP009273.1	227609	228409	+	801	215
BW25113_RS01055	NZ_CP009273.1	228413	229036	+	624	4
BW25113_RS01060	NZ_CP009273.1	229084	230442	-	1359	169
BW25113_RS01065	NZ_CP009273.1	230514	231269	-	756	310
BW25113_RS01070	NZ_CP009273.1	231303	232025	+	723	38
BW25113_RS01075	NZ_CP009273.1	232022	232489	-	468	77
BW25113_RS01080	NZ_CP009273.1	232554	233285	+	732	173
BW25113_RS01090	NZ_CP009273.1	233822	234607	+	786	6
BW25113_RS01095	NZ_CP009273.1	234744	235223	-	480	2
BW25113_RS01100	NZ_CP009273.1	235233	235589	-	357	0
BW25113_RS25420	NZ_CP009273.1	235587	235865	+	279	0
BW25113_RS01110	NZ_CP009273.1	235906	236676	-	771	159
BW25113_RS01115	NZ_CP009273.1	236857	237303	+	447	409
BW25113_RS01120	NZ_CP009273.1	237346	239790	-	2445	191
BW25113_RS01125	NZ_CP009273.1	240030	240608	+	579	1425
BW25113_RS01130	NZ_CP009273.1	240814	241581	+	768	123
BW25113_RS01135	NZ_CP009273.1	241552	242292	-	741	138
BW25113_RS01140	NZ_CP009273.1	242448	242726	-	279	33
BW25113_RS01145	NZ_CP009273.1	242729	242989	-	261	164
BW25113_RS01150	NZ_CP009273.1	243199	243948	+	750	2
BW25113_RS01155	NZ_CP009273.1	244124	244621	+	498	61
BW25113_RS01160	NZ_CP009273.1	244845	246557	-	1713	0
BW25113_RS01165	NZ_CP009273.1	246529	247314	+	786	0
BW25113_RS01170	NZ_CP009273.1	247385	248440	+	1056	11
BW25113_RS01175	NZ_CP009273.1	248492	248785	+	294	52
BW25113_RS01180	NZ_CP009273.1	248788	249186	+	399	15
BW25113_RS01185	NZ_CP009273.1	249196	249648	+	453	14
BW25113_RS01190	NZ_CP009273.1	249966	250172	+	207	2
BW25113_RS01195	NZ_CP009273.1	250168	250689	+	522	0
BW25113_RS01200	NZ_CP009273.1	250746	252203	-	1458	4349
BW25113_RS01205	NZ_CP009273.1	252464	252922	+	459	311
BW25113_RS01210	NZ_CP009273.1	253014	254258	+	1245	270
BW25113_RS01215	NZ_CP009273.1	254316	254717	+	402	3122
BW25113_RS01220	NZ_CP009273.1	254756	255811	-	1056	21
BW25113_RS01225	NZ_CP009273.1	256099	257202	+	1104	365
BW25113_RS01230	NZ_CP009273.1	257214	258467	+	1254	606
BW25113_RS01240	NZ_CP009273.1	259039	259380	-	342	0
BW25113_RS01245	NZ_CP009273.1	259401	259718	-	318	1
BW25113_RS23240	NZ_CP009273.1	259737	259958	-	222	0
BW25113_RS01250	NZ_CP009273.1	259967	260443	-	477	0
BW25113_RS01255	NZ_CP009273.1	260459	260917	-	459	1
BW25113_RS01260	NZ_CP009273.1	261015	261254	-	240	0
BW25113_RS01265	NZ_CP009273.1	261331	261798	-	468	82
BW25113_RS25425	NZ_CP009273.1	261821	262264	-	444	11
BW25113_RS25430	NZ_CP009273.1	262264	262491	-	228	0
BW25113_RS25435	NZ_CP009273.1	262487	262678	-	192	0
BW25113_RS01280	NZ_CP009273.1	262895	263716	-	822	2
BW25113_RS01285	NZ_CP009273.1	263808	264671	-	864	17
BW25113_RS01290	NZ_CP009273.1	265000	265893	-	894	3
BW25113_RS01295	NZ_CP009273.1	265989	266246	+	258	10
BW25113_RS01300	NZ_CP009273.1	266314	267465	+	1152	78
BW25113_RS01305	NZ_CP009273.1	267475	267900	+	426	3
BW25113_RS01320	NZ_CP009273.1	268573	269664	+	1092	13
BW25113_RS01325	NZ_CP009273.1	269812	270792	-	981	29
BW25113_RS01330	NZ_CP009273.1	271036	272439	+	1404	4
BW25113_RS01335	NZ_CP009273.1	272426	273358	+	933	150
BW25113_RS01340	NZ_CP009273.1	273467	274513	-	1047	4
BW25113_RS01345	NZ_CP009273.1	274525	274872	-	348	0
BW25113_RS01350	NZ_CP009273.1	274889	275586	-	698	3
BW25113_RS23265	NZ_CP009273.1	275642	275815	+	174	9
BW25113_RS01360	NZ_CP009273.1	275825	276073	-	249	25
BW25113_RS01365	NZ_CP009273.1	276096	276446	-	351	79
BW25113_RS26050	NZ_CP009273.1	276460	276525	-	66	0
BW25113_RS01370	NZ_CP009273.1	276540	277694	-	1155	2
BW25113_RS01375	NZ_CP009273.1	277989	278897	+	909	968
BW25113_RS01380	NZ_CP009273.1	278912	280879	+	1968	810
BW25113_RS01385	NZ_CP009273.1	281106	282488	+	1383	26
BW25113_RS01390	NZ_CP009273.1	282500	284110	+	1611	90
BW25113_RS01395	NZ_CP009273.1	284115	284873	-	759	26
BW25113_RS01400	NZ_CP009273.1	285012	286016	-	1005	140
BW25113_RS26055	NZ_CP009273.1	285986	286081	-	96	4
BW25113_RS23270	NZ_CP009273.1	286140	286343	+	204	2
BW25113_RS01405	NZ_CP009273.1	286360	287057	-	698	2
BW25113_RS01410	NZ_CP009273.1	287211	287942	+	732	2
BW25113_RS01415	NZ_CP009273.1	288033	288659	-	627	8
BW25113_RS01420	NZ_CP009273.1	288931	289629	-	699	8
BW25113_RS01425	NZ_CP009273.1	289656	290510	-	855	11
BW25113_RS01430	NZ_CP009273.1	290629	290853	-	225	0
BW25113_RS01435	NZ_CP009273.1	290850	291290	-	441	815
BW25113_RS01440	NZ_CP009273.1	291407	292807	-	1401	278
BW25113_RS01450	NZ_CP009273.1	293092	293430	-	339	1
BW25113_RS01455	NZ_CP009273.1	293481	294437	-	957	6
BW25113_RS01460	NZ_CP009273.1	294447	296645	-	2199	5
BW25113_RS01465	NZ_CP009273.1	296642	297598	-	957	2
BW25113_RS01470	NZ_CP009273.1	297595	298284	-	690	4
BW25113_RS01475	NZ_CP009273.1	298702	299316	+	615	530
BW25113_RS01480	NZ_CP009273.1	299564	299893	-	330	10
BW25113_RS01485	NZ_CP009273.1	300206	300916	-	711	2
BW25113_RS01490	NZ_CP009273.1	300885	302528	-	1644	5
BW25113_RS01495	NZ_CP009273.1	302518	305043	-	2526	2
BW25113_RS01500	NZ_CP009273.1	305069	305737	-	669	1
BW25113_RS01505	NZ_CP009273.1	305795	306382	-	588	20
BW25113_RS01510	NZ_CP009273.1	306457	306999	-	543	1
BW25113_RS01515	NZ_CP009273.1	307823	308050	+	228	0
BW25113_RS01520	NZ_CP009273.1	308085	308225	-	141	15
BW25113_RS01525	NZ_CP009273.1	308225	308488	-	264	30
BW25113_RS26450	NZ_CP009273.1	308852	308953	-	102	60
BW25113_RS26060	NZ_CP009273.1	309427	309516	-	90	0
BW25113_RS01535	NZ_CP009273.1	310068	310943	+	876	0
BW25113_RS01545	NZ_CP009273.1	311002	312164	+	1163	28
BW25113_RS01550	NZ_CP009273.1	312194	312847	-	654	31
BW25113_RS25445	NZ_CP009273.1	313150	313278	+	129	0
BW25113_RS01555	NZ_CP009273.1	313437	314030	-	594	1
BW25113_RS01560	NZ_CP009273.1	314042	314278	-	237	3
BW25113_RS01565	NZ_CP009273.1	314387	315712	-	1326	31
BW25113_RS01570	NZ_CP009273.1	315938	316792	+	855	21
BW25113_RS01575	NZ_CP009273.1	317319	318038	+	720	117
BW25113_RS01580	NZ_CP009273.1	318049	319476	+	1428	185
BW25113_RS01585	NZ_CP009273.1	319469	320164	+	696	103
BW25113_RS01595	NZ_CP009273.1	320407	321075	-	669	2
BW25113_RS01600	NZ_CP009273.1	321288	322958	-	1671	299
BW25113_RS01605	NZ_CP009273.1	322972	324444	-	1473	561
BW25113_RS01610	NZ_CP009273.1	324458	325045	-	588	36
BW25113_RS01615	NZ_CP009273.1	325174	327207	+	2034	93
BW25113_RS25450	NZ_CP009273.1	327513	327587	+	75	1
BW25113_RS01625	NZ_CP009273.1	328082	329170	+	1089	10
BW25113_RS01630	NZ_CP009273.1	329212	330144	-	933	18
BW25113_RS01635	NZ_CP009273.1	330236	330733	-	498	3
BW25113_RS01640	NZ_CP009273.1	330991	331596	+	606	25
BW25113_RS01645	NZ_CP009273.1	331636	332499	+	864	0
BW25113_RS01650	NZ_CP009273.1	332489	334036	+	1548	5
BW25113_RS01655	NZ_CP009273.1	334036	335454	+	1419	7
BW25113_RS01660	NZ_CP009273.1	335480	335800	+	321	27
BW25113_RS01665	NZ_CP009273.1	335876	336826	+	951	3
BW25113_RS01670	NZ_CP009273.1	336836	338218	+	1383	72
BW25113_RS26065	NZ_CP009273.1	338434	338508	+	75	0
BW25113_RS01675	NZ_CP009273.1	338595	339644	+	1050	303
BW25113_RS01680	NZ_CP009273.1	339887	340702	+	816	0
BW25113_RS01685	NZ_CP009273.1	341115	341360	+	246	1
BW25113_RS01690	NZ_CP009273.1	341377	342048	-	672	52
BW25113_RS01695	NZ_CP009273.1	342195	342470	+	276	117
BW25113_RS01700	NZ_CP009273.1	342568	344154	-	1587	6
BW25113_RS01705	NZ_CP009273.1	344393	345283	+	891	10
BW25113_RS01710	NZ_CP009273.1	345723	346892	+	1170	3
BW25113_RS01715	NZ_CP009273.1	346926	348377	+	1452	10
BW25113_RS01720	NZ_CP009273.1	348417	350303	+	1887	8
BW25113_RS01725	NZ_CP009273.1	350633	351892	+	1260	2
BW25113_RS01730	NZ_CP009273.1	351882	353165	+	1284	224
BW25113_RS01735	NZ_CP009273.1	353502	354401	-	900	23
BW25113_RS01740	NZ_CP009273.1	354510	355169	+	660	3
BW25113_RS01745	NZ_CP009273.1	355200	355670	+	471	11
BW25113_RS01750	NZ_CP009273.1	355676	356857	+	1182	9
BW25113_RS01755	NZ_CP009273.1	356960	357571	-	612	15
BW25113_RS01760	NZ_CP009273.1	357637	358890	-	1254	2
BW25113_RS01765	NZ_CP009273.1	358942	360141	-	1200	2
BW25113_RS23320	NZ_CP009273.1	360355	360654	-	300	3
BW25113_RS01775	NZ_CP009273.1	360661	361743	-	1083	128
BW25113_RS01780	NZ_CP009273.1	361820	362653	-	834	415
BW25113_RS01785	NZ_CP009273.1	362844	364508	+	1665	22
BW25113_RS01790	NZ_CP009273.1	364510	365454	+	945	3
BW25113_RS01795	NZ_CP009273.1	365472	365993	+	522	2
BW25113_RS01800	NZ_CP009273.1	366055	367206	+	1152	97
BW25113_RS01805	NZ_CP009273.1	367214	367561	+	348	4
BW25113_RS01810	NZ_CP009273.1	367571	368380	+	810	12
BW25113_RS01815	NZ_CP009273.1	368377	369327	+	951	39
BW25113_RS01820	NZ_CP009273.1	369324	370337	+	1014	44
BW25113_RS26310	NZ_CP009273.1	370582	370751	+	170	17
BW25113_RS01825	NZ_CP009273.1	370915	372126	+	1212	11
BW25113_RS01830	NZ_CP009273.1	372228	372767	+	540	309
BW25113_RS01835	NZ_CP009273.1	372991	373824	-	834	133
BW25113_RS01840	NZ_CP009273.1	373918	375027	-	1110	1016
BW25113_RS01845	NZ_CP009273.1	375062	375337	-	276	95
BW25113_RS01850	NZ_CP009273.1	375525	376298	-	774	1
BW25113_RS01855	NZ_CP009273.1	376300	376743	-	444	0
BW25113_RS01870	NZ_CP009273.1	376807	378035	+	1229	83
BW25113_RS23340	NZ_CP009273.1	378044	378307	-	264	3
BW25113_RS01875	NZ_CP009273.1	378195	379391	-	1197	2
BW25113_RS01880	NZ_CP009273.1	379401	380072	-	672	2
BW25113_RS01885	NZ_CP009273.1	380688	381650	+	963	8
BW25113_RS01890	NZ_CP009273.1	381663	382430	+	768	3
BW25113_RS01895	NZ_CP009273.1	382427	383254	+	828	4
BW25113_RS01900	NZ_CP009273.1	383251	384102	+	852	9
BW25113_RS01905	NZ_CP009273.1	384209	385183	-	975	900
BW25113_RS01915	NZ_CP009273.1	385707	387233	+	1527	6
BW25113_RS01920	NZ_CP009273.1	387195	388357	-	1163	8
BW25113_RS01930	NZ_CP009273.1	388429	389874	+	1446	14
BW25113_RS01935	NZ_CP009273.1	389962	390585	+	624	1
BW25113_RS01940	NZ_CP009273.1	390586	391743	-	1158	123
BW25113_RS01950	NZ_CP009273.1	392095	393315	+	1221	41
BW25113_RS01955	NZ_CP009273.1	393328	394422	+	1095	45
BW25113_RS01960	NZ_CP009273.1	394481	394789	-	309	37
BW25113_RS25465	NZ_CP009273.1	395049	395261	+	213	178
BW25113_RS01970	NZ_CP009273.1	395285	396379	-	1095	1162
BW25113_RS25915	NZ_CP009273.1	396457	396660	+	204	0
BW25113_RS01980	NZ_CP009273.1	396842	397102	+	261	126
BW25113_RS01985	NZ_CP009273.1	397203	398618	+	1416	19
BW25113_RS01990	NZ_CP009273.1	398737	399057	+	321	26
BW25113_RS01995	NZ_CP009273.1	399159	400274	+	1116	4
BW25113_RS02000	NZ_CP009273.1	400291	401100	-	810	897
BW25113_RS02005	NZ_CP009273.1	401220	401678	+	459	61
BW25113_RS02010	NZ_CP009273.1	401861	402385	+	525	37
BW25113_RS02015	NZ_CP009273.1	402435	402626	+	192	40
BW25113_RS02025	NZ_CP009273.1	402884	403561	+	678	28
BW25113_RS02030	NZ_CP009273.1	403633	403917	+	285	1020
BW25113_RS02035	NZ_CP009273.1	404065	404406	+	342	2
BW25113_RS25470	NZ_CP009273.1	404403	404486	+	84	0
BW25113_RS02040	NZ_CP009273.1	404564	405475	-	912	354
BW25113_RS02045	NZ_CP009273.1	405600	406508	+	909	317
BW25113_RS02050	NZ_CP009273.1	406753	407937	-	1185	13
BW25113_RS02055	NZ_CP009273.1	408063	411209	-	3147	87
BW25113_RS02060	NZ_CP009273.1	411206	412408	-	1203	65
BW25113_RS02065	NZ_CP009273.1	412598	413287	+	690	61
BW25113_RS02070	NZ_CP009273.1	413345	414640	+	1296	14
BW25113_RS02075	NZ_CP009273.1	415047	416366	+	1320	161
BW25113_RS02080	NZ_CP009273.1	416442	417815	+	1374	58
